country,listed_in,cnt,country_total,genre_total,country_share,global_share,gap,country_total_y
United States,Anime Features,7,3690,71,0.001897018970189702,0.008062684533272768,-0.006165665563083067,3690
Spain,Science & Nature TV,1,232,92,0.004310344827586207,0.010447422212128094,-0.006137077384541887,232
Indonesia,Children & Family Movies,6,90,641,0.06666666666666667,0.07279127867363161,-0.006124612006964944,90
Spain,Docuseries,9,232,395,0.03879310344827586,0.0448557801498978,-0.006062676701621937,232
France,TV Mysteries,2,393,98,0.005089058524173028,0.011128775834658187,-0.006039717310485158,393
United Kingdom,TV Horror,2,806,75,0.0024813895781637717,0.008516920281626164,-0.006035530703462392,806
South Korea,Sci-Fi & Fantasy,5,231,243,0.021645021645021644,0.02759482171246877,-0.005949800067447126,231
Netherlands,Independent Movies,4,50,756,0.08,0.08585055643879173,-0.005850556438791732,50
United States,Comedies,680,3690,1674,0.1842818428184282,0.19009766068589598,-0.005815817867467793,3690
United Kingdom,Horror Movies,28,806,357,0.034739454094292806,0.04054054054054054,-0.005801086446247737,806
Germany,Documentaries,21,226,869,0.09292035398230089,0.09868271632977516,-0.005762362347474265,226
Mexico,LGBTQ Movies,1,169,102,0.005917159763313609,0.011583011583011582,-0.005665851819697973,169
Indonesia,Sci-Fi & Fantasy,2,90,243,0.022222222222222223,0.02759482171246877,-0.005372599490246547,90
United Kingdom,Stand-Up Comedy & Talk Shows,1,806,56,0.0012406947890818859,0.006359300476947536,-0.00511860568786565,806
Germany,TV Sci-Fi & Fantasy,1,226,84,0.004424778761061947,0.009538950715421303,-0.005114171954359356,226
China,TV Mysteries,1,162,98,0.006172839506172839,0.011128775834658187,-0.004955936328485348,162
Australia,Documentaries,15,160,869,0.09375,0.09868271632977516,-0.004932716329775155,160
Japan,Cult Movies,1,318,71,0.0031446540880503146,0.008062684533272768,-0.004918030445222454,318
France,TV Comedies,24,393,581,0.061068702290076333,0.06597774244833068,-0.0049090401582543505,393
Turkey,Horror Movies,4,112,357,0.03571428571428571,0.04054054054054054,-0.0048262548262548305,112
South Korea,Thrillers,14,231,576,0.06060606060606061,0.06540994776288894,-0.004803887156828335,231
United Arab Emirates,Independent Movies,3,37,756,0.08108108108108109,0.08585055643879173,-0.004769475357710648,37
United Kingdom,TV Sci-Fi & Fantasy,4,806,84,0.004962779156327543,0.009538950715421303,-0.0045761715590937595,806
Canada,Documentaries,42,445,869,0.09438202247191012,0.09868271632977516,-0.004300693857865037,445
Germany,Comedies,42,226,1674,0.18584070796460178,0.19009766068589598,-0.004256952721294199,226
Brazil,Sports Movies,2,97,219,0.020618556701030927,0.0248694072223484,-0.004250850521317472,97
Brazil,TV Comedies,6,97,581,0.061855670103092786,0.06597774244833068,-0.004122072345237898,97
United Kingdom,TV Thrillers,2,806,57,0.0024813895781637717,0.006472859414035885,-0.003991469835872113,806
France,Movies,1,393,57,0.002544529262086514,0.006472859414035885,-0.0039283301519493705,393
France,Stand-Up Comedy & Talk Shows,1,393,56,0.002544529262086514,0.006359300476947536,-0.003814771214861022,393
France,TV Action & Adventure,6,393,168,0.015267175572519083,0.019077901430842606,-0.0038107258583235225,393
Japan,Classic Movies,3,318,116,0.009433962264150943,0.013172836702248466,-0.003738874438097523,318
South Korea,Cult Movies,1,231,71,0.004329004329004329,0.008062684533272768,-0.0037336802042684395,231
Hong Kong,Classic Movies,1,105,116,0.009523809523809525,0.013172836702248466,-0.0036490271784389416,105
Mexico,TV Sci-Fi & Fantasy,1,169,84,0.005917159763313609,0.009538950715421303,-0.0036217909521076936,169
India,TV Thrillers,3,1046,57,0.0028680688336520078,0.006472859414035885,-0.003604790580383877,1046
India,Faith & Spirituality,4,1046,65,0.0038240917782026767,0.007381330910742675,-0.0035572391325399983,1046
Spain,Teen TV Shows,1,232,69,0.004310344827586207,0.007835566659096072,-0.0035252218315098647,232
India,Stand-Up Comedy & Talk Shows,3,1046,56,0.0028680688336520078,0.006359300476947536,-0.0034912316432955284,1046
Denmark,TV Comedies,3,48,581,0.0625,0.06597774244833068,-0.003477742448330684,48
France,Action & Adventure,37,393,859,0.09414758269720101,0.09754712695889166,-0.0033995442616906457,393
